1066	6.90	38.61	  D	          KOBE_TDO000.AT1	          KOBE_TDO090.AT2
1105	7.51	93.86	  D	       KOCAELI_FAT000.AT1	       KOCAELI_FAT090.AT2
1107	7.51	77.63	  C	       KOCAELI_GYN090.AT2	       KOCAELI_GYN090.AT2
1149	7.62	51.15	  C	      CHICHI_CHY041-E.AT1	      CHICHI_CHY041-N.AT2
1292	7.62	86.38	  C	      CHICHI_ILA067-N.AT2	      CHICHI_ILA067-N.AT2
1344	7.62	88.84	  C	         CHICHI_NST-N.AT2	         CHICHI_NST-N.AT2
1427	7.62	77.50	  C	      CHICHI_TCU045-E.AT1	      CHICHI_TCU045-N.AT2
1454	7.62	4.96	  C	      CHICHI_TCU078-E.AT1	      CHICHI_TCU078-N.AT2
1455	7.62	7.64	  C	      CHICHI_TCU079-N.AT2	      CHICHI_TCU079-N.AT2
1463	7.62	7.04	  C	      CHICHI_TCU089-E.AT1	      CHICHI_TCU089-N.AT2
1555	7.14	31.56	  C	         DUZCE_1061-N.AT1	         DUZCE_1061-E.AT2
1556	7.14	29.27	  D	         DUZCE_1062-E.AT2	         DUZCE_1062-E.AT2
1572	7.37	40.43	  C	      MANJIL_ABBAR--T.AT2	      MANJIL_ABBAR--T.AT2
1579	5.61	12.64	  C	      SMADRE_altde000.AT2	      SMADRE_altde000.AT2
3144	6.20	59.29	  D	    CHICHI05_TCU123-N.AT1	    CHICHI05_TCU123-E.AT2
3404	6.30	8.80	  C	    CHICHI06_TCU080-E.AT2	    CHICHI06_TCU080-E.AT2
6	6.95	12.99	  D	     IMPVALL_I-ELC180.AT1	     IMPVALL_I-ELC270.AT2
67	6.61	26.10	  C	         SFERN_L01021.AT1	         SFERN_L01111.AT2
130	7.35	74.66	  D	         TABAS_BOS-L1.AT1	         TABAS_BOS-T1.AT2
140	5.74	9.59	  D	      COYOTELK_G03050.AT1	      COYOTELK_G03140.AT2
141	5.74	7.67	  D	      COYOTELK_G04270.AT1	      COYOTELK_G04360.AT2
142	5.74	4.37	  C	      COYOTELK_G06230.AT1	      COYOTELK_G06320.AT2
150	6.53	2.47	  D	     IMPVALL_H-AEP045.AT1	     IMPVALL_H-AEP315.AT2
157	6.53	18.88	  D	     IMPVALL_H-CHI282.AT2	     IMPVALL_H-CHI282.AT2
160	6.53	33.73	  D	     IMPVALL_H-DLT352.AT2	     IMPVALL_H-DLT352.AT2
173	6.53	28.09	  D	     IMPVALL_H-E08230.AT2	     IMPVALL_H-E08230.AT2
174	6.53	27.23	  D	     IMPVALL_H-EDA360.AT2	     IMPVALL_H-EDA360.AT2
240	5.94	14.04	  D	     MAMMOTH_L-LUL090.AT2	     MAMMOTH_L-LUL090.AT2
254	6.33	36.67	  D	          VICT_CHI102.AT1	          VICT_CHI192.AT2
299	6.60	19.92	  D	       CORINTH_COR--T.AT2	       CORINTH_COR--T.AT2
302	5.90	20.47	  D	      WESTMORL_PTS315.AT2	      WESTMORL_PTS315.AT2
305	5.90	7.02	  D	      WESTMORL_WSM090.AT1	      WESTMORL_WSM180.AT2
308	6.36	30.06	  D	    COALINGA_H-CAK270.AT1	    COALINGA_H-CAK360.AT2
323	6.36	38.78	  D	    COALINGA_H-PRK180.AT2	    COALINGA_H-PRK180.AT2
325	6.36	37.97	  C	    COALINGA_H-Z15000.AT1	    COALINGA_H-Z15090.AT2
326	6.36	36.49	  D	    COALINGA_H-Z16000.AT1	    COALINGA_H-Z16090.AT2
328	6.36	47.90	  C	    COALINGA_H-COH000.AT1	    COALINGA_H-COH090.AT2
345	6.36	34.35	  D	    COALINGA_H-PV1000.AT1	    COALINGA_H-PV1090.AT2
348	6.36	40.04	  D	    COALINGA_H-VYC110.AT2	    COALINGA_H-VYC110.AT2
353	6.36	33.52	  C	    COALINGA_H-SCN045.AT1	    COALINGA_H-SCN315.AT2
421	6.19	16.67	  C	        MORGAN_AND340.AT2	        MORGAN_AND340.AT2
432	6.19	36.34	  C	        MORGAN_G06090.AT2	        MORGAN_G06090.AT2
434	6.19	3.94	  D	        MORGAN_HVR240.AT2	        MORGAN_HVR240.AT2
513	6.19	31.25	  D	    CHALFANT_A-BEN360.AT2	    CHALFANT_A-BEN360.AT2
514	6.19	20.27	  D	    CHALFANT_A-LAD270.AT2	    CHALFANT_A-LAD270.AT2
523	6.19	14.33	  D	    CHALFANT_A-ZAK360.AT2	    CHALFANT_A-ZAK360.AT2
541	7.30	75.25	  D	       SMART1_45M07EW.AT1	       SMART1_45M07NS.AT2
542	7.30	78.21	  D	       SMART1_45O01EW.AT1	       SMART1_45O01NS.AT2
543	7.30	77.57	  D	       SMART1_45O02NS.AT2	       SMART1_45O02NS.AT2
545	7.30	74.24	  D	       SMART1_45O06NS.AT2	       SMART1_45O06NS.AT2
575	5.99	19.81	  D	    WHITTIER_A-CAS000.AT1	    WHITTIER_A-CAS270.AT2
578	5.99	15.29	  D	    WHITTIER_A-BIR180.AT2	    WHITTIER_A-BIR180.AT2
