,True,Predicted
1815,-1.14989,-0.6445043523755043
1816,-1.3604,-0.7553665863985696
1817,-0.980559,-0.5529086838897562
1818,-0.594918,-0.34587225637183583
1819,-0.632179,-0.3563252232462793
1820,-0.735214,-0.41101549751282035
1821,-0.631523,-0.36526205063654016
1822,-0.541303,-0.3163149158188878
1823,-0.404784,-0.23562733534593008
1824,-0.173865,-0.10068350572432186
1825,-0.0319237,-0.014440050584463491
1826,-0.076053,-0.01578667605733452
1827,-0.192899,-0.0775142547313727
1828,-0.184603,-0.09705329773499768
1829,-0.0198586,-0.0006485677731177237
1830,0.122623,0.10749154079969636
1831,0.0758921,0.08302214763700677
1832,-0.138498,-0.09171106610366105
1833,-0.291233,-0.23662866573557426
1834,-0.335441,-0.3164198163124891
1835,-0.506589,-0.4246434968968276
1836,-0.688001,-0.5214646086644301
1837,-0.825664,-0.6206172572664513
1838,-1.00032,-0.7512681424129745
1839,-1.04093,-0.7778587743117386
1840,-0.78139,-0.6812728425409085
1841,-0.503583,-0.5451608158575806
1842,-0.472767,-0.45079258450451587
1843,-0.644447,-0.5164587749265775
1844,-0.712711,-0.5955995437531056
1845,-0.638752,-0.609560946829333
1846,-0.66581,-0.6049642392567126
1847,-0.559091,-0.5359967122960257
1848,-0.371743,-0.4313082591173699
1849,-0.584045,-0.5879692241087588
1850,-1.16157,-0.9725821138498627
1851,-1.49745,-1.1127190389820956
1852,-1.24888,-0.9889687146287551
1853,-0.951639,-0.8124735188814163
1854,-1.01021,-0.824951694355841
1855,-1.20968,-0.9625115851980038
1856,-1.4396,-1.1367315284441912
1857,-1.74518,-1.2951628622956484
1858,-1.85546,-1.293556086801484
1859,-1.4311,-1.0181283277216149
1860,-0.665422,-0.5197155766671098
1861,-0.287539,-0.2727538390558163
1862,-0.557801,-0.40618946442544646
1863,-0.810213,-0.548521815329712
1864,-0.510328,-0.3565312835303575
1865,0.0870139,0.03844760249855143
1866,0.530138,0.33232616415957994
1867,0.870516,0.551536817022688
1868,1.05553,0.6576809331339123
1869,0.847033,0.5256693524602442
1870,0.375353,0.25339941892335155
1871,0.17379,0.14465196164968896
1872,0.468101,0.30045572738685583
1873,0.725339,0.43331254518646284
1874,0.542085,0.3264365401367252
1875,0.110569,0.08556255342295441
1876,-0.0776677,-0.046105513712890955
1877,-0.0857258,-0.08955993429307292
1878,-0.268202,-0.20600953947494102
1879,-0.416772,-0.28361966535699445
1880,-0.211433,-0.16783186845478307
1881,0.115725,0.036280247157363575
1882,0.191496,0.09871668215241229
1883,0.261162,0.1625196308352584
1884,0.616708,0.4276037346238015
1885,1.0022,0.7332225980502483
